Site,Date ,Transect,Start Lat,Start Long,End Lat ,End Long,Species,Habitat,Crevice Depth (cm),Crevice Width (cm),Position (m),Size (cm),Notes
Malpaso,20021007,7,,,,,H_cracherodii,C,10,5,26,8,
Malpaso,20021007,7,,,,,H_cracherodii,C,40,10,11.9,8,
Malpaso,20021007,7,,,,,H_cracherodii,C,40,10,11.9,8,
Malpaso,20021007,7,,,,,H_cracherodii,C,30,5,22,8,
Malpaso,20021007,7,,,,,H_cracherodii,C,33,8,3.5,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,33,10,9.6,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,33,10,10,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,28,26,11.4,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,28,26,11.4,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,6,21.6,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,15,10,23.4,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,40,10,11.9,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,15,14.1,9,
Malpaso,20021007,7,,,,,H_cracherodii,C,20,15,14.1,10,
Malpaso,20021007,7,,,,,H_cracherodii,C,10,10,25.2,11,
Malpaso,20021007,7,,,,,H_cracherodii,C,15,10,23.4,12,
Pescadero,20021008,1,,,,,H_cracherodii,C,9,7,25.1,0.5,
Pescadero,20021008,1,,,,,H_cracherodii,C,15,5,7.2,3,
Pescadero,20021008,1,,,,,H_cracherodii,C,7,2,7,3.5,
Pescadero,20021008,1,,,,,H_cracherodii,C,7,2,7,3.5,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,5,0.3,4,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,0.6,4,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,0.6,4,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,8.2,4,
Pescadero,20021008,1,,,,,H_cracherodii,C,15,5,17.6,4,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,5,0.3,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,0.6,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,30,5,0.8,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,30,5,0.8,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,6.9,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,15,5,7.2,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,8.2,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,15,5,17.6,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,15,5,17.6,5,
Pescadero,20021008,1,,,,,H_cracherodii,C,28,16,15.4,6,
Pescadero,20021008,1,,,,,H_cracherodii,C,20,10,0.6,6,
Pescadero,20021008,1,,,,,H_cracherodii,C,30,5,0.8,6,
Pescadero,20021008,1,,,,,H_cracherodii,C,30,5,0.8,6,
Pescadero,20021008,1,,,,,H_cracherodii,C,60,20,3.1,6,
